Nation,Date,Representative,Thumbnail,Designation,Running President/PM,Gist Link,Emotion,State of Affairs
USA,17-05-2021 00:00,Joe Biden,Statement of President Joe Biden on American Rescue Plan Oversight,President,Joe Biden,https://www.whitehouse.gov/briefing-room/statements-releases/2021/05/17/statement-of-president-joe-biden-on-american-rescue-plan-oversight/,NEUTRAL,DEVELOPMENT
USA,31-01-2014,Barack Obama,"
Remarks by the President on Long-Term Unemployment",President,Barack Obama,https://obamawhitehouse.archives.gov/the-press-office/2014/01/31/remarks-president-long-term-unemployment,OPTIMISM,DEVELOPMENT
China,23-03-2015 00:00,H.E. Wang Yi,Toward a New Type of International Relations of Win-Win Cooperation,State Councilor and Foreign Minister of the People's Republic of China,Xi Jinping,https://www.fmprc.gov.cn/mfa_eng/wjdt_665385/zyjh_665391/t1248487.shtml,OPTIMISM,INTERNATIONAL AFFAIRS
Russia,29-08-2011,Dmitry Medvedev,Dmitry Medvedev had a meeting with the leaders of Russia’s seven officially registered political parties,President,Dmitry Medvedev,http://en.kremlin.ru/events/president/transcripts/statements/12486,NEUTRAL,OTHERS
Russia,24-10-2002,Vladimir Putin,Opening Remarks at a Meeting with Internal Affairs Minister Boris Gryzlov and Federal Security Service Director Nikolai Patrushev,President,Vladimir Putin,http://en.kremlin.ru/events/president/transcripts/statements/21758,UPSET,EXTREMISM
USA,04-03-2021 00:00,Joe Biden,Statement by President Joe Biden on the House of Representatives Passage of H.R. 1,President,Joe Biden,https://www.whitehouse.gov/briefing-room/statements-releases/2021/03/04/statement-by-president-joe-biden-on-the-house-of-representatives-passage-of-h-r-1/,OPTIMISM,OTHERS
China,18-12-2015 00:00,H.E. Wang Yi,Give Peace A Chance and People Tranquility,State Councilor and Foreign Minister of the People's Republic of China,Xi Jinping,https://www.fmprc.gov.cn/mfa_eng/wjdt_665385/zyjh_665391/t1329600.shtml,UPSET,INTERNATIONAL AFFAIRS
USA,11-05-2021 00:00,Joe Biden,"Statement by President Joseph R. Biden, Jr. on One Million Americans Signing Up for Health Coverage During 2021 Special Enrollment",President,Joe Biden,https://www.whitehouse.gov/briefing-room/statements-releases/2021/05/11/statement-by-president-joseph-r-biden-jr-on-one-million-americans-signing-up-for-health-coverage-during-2021-special-enrollment/,OPTIMISM,DEVELOPMENT
USA,22-04-2015,Barack Obama,"
Remarks by the President on the Impacts of Climate Change",President,Barack Obama,https://obamawhitehouse.archives.gov/the-press-office/2015/04/22/remarks-president-impacts-climate-change,NEUTRAL,DEVELOPMENT
China,23-09-2009 00:00,Hu Jintao,Unite as One and Work for a Bright Future ,President,Hu Jintao,https://www.fmprc.gov.cn/ce/cgvienna/eng/xw/t608125.htm,OPTIMISM,INTERNATIONAL AFFAIRS
USA,17-07-2021 00:00,Joe Biden,"Statement by President Joseph R. Biden, Jr. On the One Year Anniversary of the Passing of Congressman John Lewis",President,Joe Biden,https://www.whitehouse.gov/briefing-room/statements-releases/2021/07/17/statement-by-president-joseph-r-biden-jr-on-the-one-year-anniversary-of-the-passing-of-congressman-john-lewis/,UPSET,OTHERS
United Kingdom,08-Nov-16,Theresa May,Bangalore reception for the India-UK Tech Summit: Prime Minister's Speech,Prime Minister,Theresa May,https://www.gov.uk/government/speeches/bangalore-reception-for-the-india-uk-tech-summit-prime-ministers-speech,JOY,INTERNATIONAL AFFAIRS
United Kingdom,23-Feb-12,David Cameron,Business in the Community speech,Prime Minister,David Cameron,https://www.gov.uk/government/speeches/business-in-the-community-speech--2,NEUTRAL,OTHERS
USA,16-04-2016,Barack Obama,"
WEEKLY ADDRESS: Ensuring Our Free Market Works for Everyone",President,Barack Obama,https://obamawhitehouse.archives.gov/the-press-office/2016/04/16/weekly-address-ensuring-our-free-market-works-everyone,NEUTRAL,DEVELOPMENT
Russia,11-11-2003 00:00,Vladimir Putin,Speech at a Session of the Congress of Municipal Formations,President,Vladimir Putin,http://en.kremlin.ru/events/president/transcripts/statements/22197,NEUTRAL,OTHERS
USA,19-07-2013,Barack Obama,"
Remarks by the President on Trayvon Martin",President,Barack Obama,https://obamawhitehouse.archives.gov/the-press-office/2013/07/19/remarks-president-trayvon-martin,UPSET,OTHERS
USA,24-04-2016,Barack Obama,"
Remarks by President Obama at Hannover Messe Trade Show Opening",President,Barack Obama,https://obamawhitehouse.archives.gov/the-press-office/2016/04/24/remarks-president-obama-hannover-messe-trade-show-opening,NEUTRAL,DEVELOPMENT
USA,29-03-2021 00:00,Joe Biden,Letter to the Speaker of the House and the President of the Senate on the Continuation of the National Emergency With Respect to South Sudan0,President,Joe Biden,https://www.whitehouse.gov/briefing-room/statements-releases/2021/03/29/letter-to-the-speaker-of-the-house-and-the-president-of-the-senate-on-the-continuation-of-the-national-emergency-with-respect-to-south-sudan/,NEUTRAL,INTERNATIONAL AFFAIRS
USA,06-09-2016,Barack Obama,"
Remarks by President Obama at a State Luncheon with President Bounnhang of Laos",President,Barack Obama,https://obamawhitehouse.archives.gov/the-press-office/2016/09/06/remarks-president-obama-state-luncheon-president-bounnhang-laos,NEUTRAL,OTHERS
USA,21-09-2021 00:00,Joe Biden,Remarks by President Biden Before the 76th Session of the United Nations General Assembly,President,Joe Biden,https://www.whitehouse.gov/briefing-room/speeches-remarks/2021/09/21/remarks-by-president-biden-before-the-76th-session-of-the-united-nations-general-assembly/,OPTIMISM,INTERNATIONAL AFFAIRS
USA,21-04-2015,Barack Obama,"
Remarks by the President Celebrating Medicare Access and the CHIP Reauthorization Act",President,Barack Obama,https://obamawhitehouse.archives.gov/the-press-office/2015/04/21/remarks-president-celebrating-medicare-access-and-chip-reauthorization-a,JOY,DEVELOPMENT
Russia,25-03-2020,Vladimir Putin,Address to the Nation,President,Vladimir Putin,http://en.kremlin.ru/events/president/transcripts/statements/63061,UPSET,DEVELOPMENT
USA,05-04-2021 00:00,Joe Biden,Remarks by President Biden on the Tradition of Easter at the White House,President,Joe Biden,https://www.whitehouse.gov/briefing-room/speeches-remarks/2021/04/05/remarks-by-president-biden-on-the-tradition-of-easter-at-the-white-house/,JOY,OTHERS
China,07-11-2014 00:00,H.E. Wang Yi,Opening Remarks by Foreign Minister Wang Yi At the 26th APEC Ministerial Meeting,State Councilor and Foreign Minister of the People's Republic of China,Xi Jinping,https://www.fmprc.gov.cn/mfa_eng/wjdt_665385/zyjh_665391/t1208615.shtml,NEUTRAL,INTERNATIONAL AFFAIRS
Russia,15-01-2004,Vladimir Putin,Speech at an Enlarged Session of the Russian Federal Security Service Board,President,Vladimir Putin,http://en.kremlin.ru/events/president/transcripts/statements/22281,NEUTRAL,OTHERS
Russia,29-11-2007,Vladimir Putin,Televised Address to Russian Citizens in Connection with the Forthcoming State Duma Elections,President,Vladimir Putin,http://en.kremlin.ru/events/president/transcripts/statements/24715,NEUTRAL,OTHERS
USA,12-08-2021 00:00,Joe Biden,Remarks by President Biden on How His Build Back Better Agenda Will Lower Prescription Drug Prices,President,Joe Biden,https://www.whitehouse.gov/briefing-room/speeches-remarks/2021/08/12/remarks-by-president-biden-on-how-his-build-back-better-agenda-will-lower-prescription-drug-prices/,NEUTRAL,OTHERS
USA,22-03-2017 00:00,Donald Trump,Remarks by President Trump Before Meeting with Members of the Congressional Black Caucus,President,Donald Trump,https://trumpwhitehouse.archives.gov/briefings-statements/remarks-president-trump-meeting-members-congressional-black-caucus/,OPTIMISM,INTERNATIONAL AFFAIRS
USA,08-10-2021 00:00,Joe Biden,Statement by President Joe Biden Congratulating Nobel Peace Prize Winners,President,Joe Biden,https://www.whitehouse.gov/briefing-room/statements-releases/2021/10/08/statement-by-president-joe-biden-congratulating-nobel-peace-prize-winners/,JOY,OTHERS
China,01-09-2017 00:00,H.E. Wang Yi,Forge Ahead under the Guidance of General Secretary Xi Jinping's Thought on Diplomacy,State Councilor and Foreign Minister of the People's Republic of China,Xi Jinping,https://www.fmprc.gov.cn/mfa_eng/wjdt_665385/zyjh_665391/t1489143.shtml,NEUTRAL,INTERNATIONAL AFFAIRS
USA,19-04-2013,Barack Obama,"
Statement by the President",President,Barack Obama,https://obamawhitehouse.archives.gov/the-press-office/2013/04/19/statement-president,UPSET,EXTREMISM
USA,04-01-2017,Barack Obama,"
Remarks by the President at Armed Forces Full Honor Review Farewell Ceremony",President,Barack Obama,https://obamawhitehouse.archives.gov/the-press-office/2017/01/04/remarks-president-armed-forces-full-honor-review-farewell-ceremony,JOY,NATIONALISM
USA,25-01-2019 00:00,Donald Trump,Remarks by President Trump on the Government Shutdown,President,Donald Trump,https://trumpwhitehouse.archives.gov/briefings-statements/remarks-president-trump-government-shutdown/,NEUTRAL,OTHERS
USA,08-06-2021 00:00,Joe Biden,Statement by the President on the Affirmation of Ratko Mladic’s Conviction,President,Joe Biden,https://www.whitehouse.gov/briefing-room/statements-releases/2021/06/08/statement-by-the-president-on-the-affirmation-of-ratko-mladics-conviction/,UPSET,INTERNATIONAL AFFAIRS
United Kingdom,20-Mar-20,Boris Johnson,Prime Minister's statement on coronavirus (COVID-19): 20 March 2020,Prime Minister,Boris Johnson,https://www.gov.uk/government/speeches/pm-statement-on-coronavirus-20-march-2020,OPTIMISM,DEVELOPMENT
China,21-09-2020 00:00,H.E. Wang Yi,"Message of Congratulations from
H. E. Wang Yi State Councilor and Minister of Foreign Affairs
of the People's Republic of China
for the Opening of the Embassy of the People's Republic of China in
Solomon Islands",State Councilor and Foreign Minister of the People's Republic of China,Xi Jinping,https://www.fmprc.gov.cn/mfa_eng/wjdt_665385/zyjh_665391/t1816543.shtml,NEUTRAL,INTERNATIONAL AFFAIRS
USA,21-06-2019 00:00,Donald Trump,Remarks by President Trump at the Congressional Picnic,President,Donald Trump,https://trumpwhitehouse.archives.gov/briefings-statements/remarks-president-trump-congressional-picnic/,JOY,OTHERS
USA,20-08-2014,Barack Obama,"
Statement by the President",President,Barack Obama,https://obamawhitehouse.archives.gov/the-press-office/2014/08/20/statement-president,UPSET,OTHERS
China,16-12-2019 00:00,H.E. Wang Yi,Adhering to Multilateralism and Jointly Creating a Better Future,State Councilor and Foreign Minister of the People's Republic of China,Xi Jinping,https://www.fmprc.gov.cn/mfa_eng/wjdt_665385/zyjh_665391/t1725392.shtml,NEUTRAL,INTERNATIONAL AFFAIRS
United Kingdom,22-Sep-20,Boris Johnson,PM Commons statement on coronavirus: 22 September 2020,Prime Minister,Boris Johnson,https://www.gov.uk/government/speeches/pm-commons-statement-on-coronavirus-22-september-2020,UPSET,DEVELOPMENT
United Kingdom,27-Jan-20,Boris Johnson,PM speech at the UK Commemorative Ceremony for Holocaust Memorial Day,Prime Minister,Boris Johnson,https://www.gov.uk/government/speeches/pm-speech-at-the-uk-commemorative-ceremony-for-holocaust-memorial-day,NEUTRAL,INTERNATIONAL AFFAIRS
USA,03-03-2021 00:00,Joe Biden,A Letter on the Annual Report on the Legal and Policy Frameworks for the United States’ Use of Military Force and Related National Security Operations,President,Joe Biden,https://www.whitehouse.gov/briefing-room/statements-releases/2021/03/03/a-letter-on-the-annual-report-on-the-legal-and-policy-frameworks-for-the-united-states-use-of-military-force-and-related-national-security-operations/,NEUTRAL,OTHERS
USA,31-08-2021 00:00,Joe Biden,Remarks by President Biden on the End of the War in Afghanistan,President,Joe Biden,https://www.whitehouse.gov/briefing-room/speeches-remarks/2021/08/31/remarks-by-president-biden-on-the-end-of-the-war-in-afghanistan/,NEUTRAL,INTERNATIONAL AFFAIRS
China,16-12-2015 00:00,Xi Jinping,Remarks by H.E. Xi Jinping President of the People's Republic of China At the Opening Ceremony of the Second World Internet Conference,President,Xi Jinping,https://www.fmprc.gov.cn/mfa_eng/wjdt_665385/zyjh_665391/t1327570.shtml,OPTIMISM,DEVELOPMENT
USA,21-08-2017 00:00,Donald Trump,Remarks by President Trump on the Strategy in Afghanistan and South Asia,President,Donald Trump,https://trumpwhitehouse.archives.gov/briefings-statements/remarks-president-trump-strategy-afghanistan-south-asia/,UPSET,INTERNATIONAL AFFAIRS
USA,20-07-2013,Barack Obama,"
Weekly Address: Confirming Rich Cordray to Lead the CFPB",President,Barack Obama,https://obamawhitehouse.archives.gov/the-press-office/2013/07/20/weekly-address-confirming-rich-cordray-lead-cfpb,NEUTRAL,DEVELOPMENT
China,24-11-2015 00:00,Li Keqiang,Work Together to Open Up New Prospects for Win-Win Cooperation,Premier,Xi Jinping,https://www.fmprc.gov.cn/mfa_eng/wjdt_665385/zyjh_665391/t1318407.shtml,NEUTRAL,DEVELOPMENT
USA,11-05-2013,Barack Obama,"
Weekly Address: Growing the Housing Market and Supporting our Homeowners",President,Barack Obama,https://obamawhitehouse.archives.gov/the-press-office/2013/05/11/weekly-address-growing-housing-market-and-supporting-our-homeowners-0,JOY,DEVELOPMENT
Russia,10-11-2005 00:00,Vladimir Putin,Opening Address at the Session of the State Council Presidium on Increasing the Availability and Quality of Medical Aid,President,Vladimir Putin,http://en.kremlin.ru/events/president/transcripts/statements/23207,NEUTRAL,DEVELOPMENT
USA,17-01-2016,Barack Obama,"
Statement by the President on Iran",President,Barack Obama,https://obamawhitehouse.archives.gov/the-press-office/2016/01/17/statement-president-iran,NEUTRAL,INTERNATIONAL AFFAIRS
USA,28-09-2014,Barack Obama,"
Remarks by the President at Congressional Black Caucus Awards Dinner",President,Barack Obama,https://obamawhitehouse.archives.gov/the-press-office/2014/09/28/remarks-president-congressional-black-caucus-awards-dinner,JOY,OTHERS
USA,26-03-2021 00:00,Joe Biden,Statement from the President on Passover,President,Joe Biden,https://www.whitehouse.gov/briefing-room/statements-releases/2021/03/26/statement-from-the-president-on-passover/,JOY,OTHERS
USA,14-02-2015,Barack Obama,"
Weekly Address: Giving Every Child, Everywhere, a Fair Shot",President,Barack Obama,https://obamawhitehouse.archives.gov/the-press-office/2015/02/14/weekly-address-giving-every-child-everywhere-fair-shot,OPTIMISM,DEVELOPMENT
China,18-01-2020 00:00,H.E. Xi Jinping,Remarks by H.E. Xi Jinping President of the People's Republic of China At Launch Ceremony of Celebrations for 70th Anniversary of China-Myanmar Diplomatic Relations & China-Myanmar Year of Culture and Tourism,President,Xi Jinping,https://www.fmprc.gov.cn/mfa_eng/wjdt_665385/zyjh_665391/t1733685.shtml,JOY,INTERNATIONAL AFFAIRS
USA,11-02-2015,Barack Obama,"
Remarks by the President on Request to Congress for Authorization of Force Against ISIL",President,Barack Obama,https://obamawhitehouse.archives.gov/the-press-office/2015/02/11/remarks-president-request-congress-authorization-force-against-isil,OPTIMISM,INTERNATIONAL AFFAIRS
Russia,13-06-2017,Vladimir Putin,2014–2016 Budget Policy Address,President,Vladimir Putin,http://en.kremlin.ru/events/president/transcripts/statements/18333,UPSET,DEVELOPMENT
United Kingdom,14-Nov-11,David Cameron,David Cameron article in 'The Daily Telegraph' on coasting schools,Prime Minister,David Cameron,https://www.gov.uk/government/speeches/david-cameron-article-in-the-daily-telegraph-on-coasting-schools,OPTIMISM,DEVELOPMENT
USA,06-08-2021 00:00,Joe Biden,Statement by President Joe Biden Extending the Pause on Student Loan Repayment,President,Joe Biden,https://www.whitehouse.gov/briefing-room/statements-releases/2021/08/06/statement-by-president-joe-biden-extending-the-pause-on-student-loan-repayment/,OPTIMISM,DEVELOPMENT
United Kingdom,04-Dec-19,Boris Johnson,PM statement at NATO meeting: 4 December 2019,Prime Minister,Boris Johnson,https://www.gov.uk/government/speeches/pm-statement-at-nato-meeting-4-december-2019,JOY,INTERNATIONAL AFFAIRS
